Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
Chevrolet Chevelle Malibu,18,8,307,130,3504,12,70,US
Buick Skylark 320,15,8,350,165,3693,11.5,70,US
Plymouth Satellite,18,8,318,150,3436,11,70,US
AMC Rebel SST,16,8,304,150,3433,12,70,US
Ford Torino,17,8,302,140,3449,10.5,70,US
Ford Galaxie 500,15,8,429,198,4341,10,70,US
Chevrolet Impala,14,8,454,220,4354,9,70,US
Plymouth Fury iii,14,8,440,215,4312,8.5,70,US
Pontiac Catalina,14,8,455,225,4425,10,70,US
AMC Ambassador DPL,15,8,390,190,3850,8.5,70,US
Citroen DS-21 Pallas,0,4,133,115,3090,17.5,70,Europe
Chevrolet Chevelle Concours,0,8,350,165,4142,11.5,70,US
Ford Torino,0,8,351,153,4034,11,70,US
Plymouth Satellite,0,8,383,175,4166,10.5,70,US
AMC Rebel SST,0,8,360,175,3850,11,70,US
